id,date,content,username,score,post_id,parent_id
ewe43xa,2019-08-09 09:27:11,"As a new moderator I personally think that at this point we are a close and small community that could be manually moderated, but we may need AutoMod as we expand as a sub. That being said, ultimately I wouldn’t mind having it.",georgiafisherman05,0,cnu7ba,na
ewe5766,2019-08-09 09:27:11,I don’t know how to use it and neither does the other mods I don’t think,[deleted],2,cnu7ba,ewe43xa
ewe55dr,2019-08-09 09:38:56,Southwest is the best airline don’t @ me,[deleted],2,cnvclq,na
ewe59zu,2019-08-09 09:38:56,Of course it is,georgiafisherman05,0,cnvclq,ewe55dr
i7e0ype,2022-05-05 12:48:37,Still available?!,Artistic-Savings5407,1,rtj4ha,na
kug6zxh,2022-05-05 12:48:37,Yes,travelagenttpa,1,rtj4ha,i7e0ype
kufqvko,2024-03-12 06:33:44,Also have some SW transferable credits feel free to DM me.,travelagenttpa,1,rtj4ha,na
kug6yky,2024-03-12 08:13:36,I have transferable credits for sale too dm me,travelagenttpa,1,rtj4ha,na
l2zxzwz,2024-03-12 08:13:36,How much and how much,Medical_Outside_7638,1,rtj4ha,kug6yky
hr8vhrg,2022-01-05 02:47:30,How much? Feel free to dm,atmorr,1,rtj4ha,na
hraane4,2022-01-05 02:47:30,Check your dm,RaBlixk,1,rtj4ha,hr8vhrg
htou2g4,2022-01-22 10:36:24,Still available?,TimDisaster,1,rtj4ha,na
i0j3mqs,2022-01-22 10:36:24,Yes,RaBlixk,1,rtj4ha,htou2g4
hyzrkks,2022-03-02 09:53:45,How much?,enrique-hernandez,1,rtj4ha,na
i0j3nao,2022-03-02 09:53:45,Dm me,RaBlixk,1,rtj4ha,hyzrkks
i0j3l2x,2022-03-14 04:00:14,i’m interested,abrenner_,1,rtj4ha,na
jxcgx1d,2023-08-23 08:07:09,I have 25k miles I would like to sell dm for info cheap,SatisfactionAble5669,1,rtj4ha,na
jz92lj3,2023-08-23 08:07:09,Hi! How much?,sprinkletheconfetti,1,rtj4ha,jxcgx1d
k3ofu5w,2023-10-06 12:50:22,Are they still available?,qwertyidk2020,1,rtj4ha,na
k9o28fa,2023-10-06 12:50:22,I have 157000 and don't need them. I will let you log into my account after payment. We can use a trusted middleman if needed.,Rhinotter1,1,rtj4ha,k3ofu5w
kemaeno,2023-12-23 23:31:56,I have credits on my account that I am not able to use. Can anyone use it for booking flight?,Otherwise_Swan_1771,1,rtj4ha,na
kr83wkd,2023-12-23 23:31:56,Yes,Clean_Worker_9717,1,rtj4ha,kemaeno
kgtebvc,2024-01-08 08:37:12,"Anyone want to buy my southwest points, Have 58,852 Points and travel funds with PROOF",Only_Dot1451,1,rtj4ha,na
l4xfsuv,2024-01-08 08:37:12,Price,gaptapzap,1,rtj4ha,kgtebvc
ezbf2g7,2019-09-07 09:26:41,I love flying Southwest through the Hartfield-Jackson airport in the ATL!,georgiafisherman05,1,cx4gfk,na
jo9gbv8,2023-06-16 03:34:24,r/greyhound,[deleted],1,riyy8i,na
kwia8il,2024-03-26 00:35:15,Lol,PowerAndMarkets,1,qrqln0,na
hkcojqi,2021-11-13 00:56:40,I was banned from this sub for 2 years as a result of doing this same thing. I would delete this before the mods do and ban you.,MileHighInDenver22,1,qrqln0,na
kwia66s,2024-03-26 00:35:15,Lol,PowerAndMarkets,1,qrqln0,na
jo8l4bu,2023-06-15 23:43:55,"Ooo, boo hoo boo hoo, he isn’t wearing a mask😭😭😭😭😭😭😭😭😭",Opening_Patience844,5,hlzclv,na
jo76m3y,2023-06-15 14:56:56,Bet you feel like an ass knowing masks didn’t do anything to protect you.   The captain is always correct.,G1v1ngBack,6,hlzclv,na
jxjo9a5,2023-08-24 20:43:23,Maybe he has low hemoglobin?,Substantial-Gain-127,2,hlzclv,na
kwi9ulc,2024-03-26 00:34:22,This didn’t age well 😂🤣,PowerAndMarkets,1,hlzclv,na
kwi9vnt,2024-03-26 00:34:22,This didn’t age well 😂🤣,PowerAndMarkets,1,hlzclv,na
kglclhg,2024-01-06 23:29:12,😎,Revolutionary_Fly769,1,hlzclv,na
f3mn9rh,2019-10-14 02:13:14,u/georgiafisherman05 can I be a mod?,TheCosmicMyst,1,clnqbp,na
f3of0n3,2019-10-14 02:13:14,"I guess I’m allowed to do that, so sure :)",georgiafisherman05,1,clnqbp,f3mn9rh
