Year,Rank,Airline
2012,1,Qatar Airways
2012,2,Asiana Airlines
2012,3,Singapore Airlines
2012,4,Cathay Pacific Airways
2012,5,ANA All Nippon Airways
2012,6,Etihad Airways
2012,7,Turkish Airlines
2012,8,Emirates
2012,9,Thai Airways
2012,10,Malaysia Airlines
2012,11,Garuda Indonesia
2012,12,Virgin Australia
2012,13,EVA Air
2012,14,Lufthansa
2012,15,Qantas Airways
2012,16,Korean Air
2012,17,Air New Zealand
2012,18,Swiss International Air Lines
2012,19,Air Canada
2012,20,Hainan Airlines
2012,21,Dragonair
2012,22,AirAsia
2012,23,Oman Air
2012,24,Aegean Airlines
2012,25,South African Airways
2012,26,Virgin America
2012,27,Bangkok Airways
2012,28,British Airways
2012,29,China Southern Airlines
2012,30,Jetstar Airways
2012,31,Finnair
2012,32,TAM Airlines
2012,33,China Airlines
2012,34,KLM Royal Dutch Airlines
2012,35,Japan Airlines
2012,36,SilkAir
2012,37,Air China
2012,38,LAN Airlines
2012,39,Austrian Airlines
2012,40,AirAsia X
2012,41,EasyJet
2012,42,TACA Airlines
2012,43,WestJet
2012,44,China Eastern Airlines
2012,45,Hong Kong Airlines
2012,46,Jetstar Asia
2012,47,Vietnam Airlines
2012,48,Air France
2012,49,Alaska Airlines
2012,50,Virgin Atlantic
2012,51,Southwest Airlines
2012,52,jetBlue Airways
2012,53,Air Astana
2012,54,Azul Airlines
2012,55,IndiGo
2012,56,Avianca
2012,57,Delta Air Lines
2012,58,Jet Airways
2012,59,bmi British Midland
2012,60,American Eagle
2012,61,Copa Airlines
2012,62,Air Nostrum
2012,63,Brussels Airlines
2012,64,United Airlines
2012,65,Air Berlin
2012,66,Kulula
2012,67,TAP Portugal
2012,68,SAS Scandinavian
2012,69,TRIP Airlines
2012,70,SriLankan Airlines
2012,71,Air Mauritius
2012,72,Transaero Airlines
2012,73,Baboo Airlines
2012,74,Norwegian
2012,75,NIKI
2012,76,Air Transat
2012,77,Hong Kong Express
2012,78,Kenya Airways
2012,79,Kingfisher Airlines
2012,80,Hawaiian Airlines
2012,81,SpiceJet
2012,82,Gulf Air
2012,83,Alitalia
2012,84,American Airlines
2012,85,Aeroflot
2012,86,Tigerair
2012,87,Saudia
2012,88,Icelandair
2012,89,Shenzhen Airlines
2012,90,Porter Airlines
2012,91,Aer Arann
2012,92,Tianjin Airlines
2012,93,Nok Air
2012,94,Royal Jordanian Airlines
2012,95,Egyptair
2012,96,Air Pacific
2012,97,Aer Lingus
2012,98,Aer Busan
2012,99,Cyprus Airways
2012,100,Skymark Airlines
